[worker.serial] 2026/02/23 08:11:37.246622 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:37.449620 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:37.449664 stream read error: EOF
[worker.serial] 2026/02/23 08:11:37.850949 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:38.053543 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:38.053573 stream read error: EOF
[worker.serial] 2026/02/23 08:11:38.455292 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:38.657622 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:38.657658 stream read error: EOF
[worker.serial] 2026/02/23 08:11:39.058312 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:39.265367 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:39.265401 stream read error: EOF
[worker.serial] 2026/02/23 08:11:39.666535 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:39.873581 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:39.873610 stream read error: EOF
[worker.serial] 2026/02/23 08:11:40.274447 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:40.481334 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:40.481366 stream read error: EOF
[worker.serial] 2026/02/23 08:11:40.882738 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:41.085690 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:41.085720 stream read error: EOF
[worker.serial] 2026/02/23 08:11:41.487351 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:41.693353 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:41.693387 stream read error: EOF
[worker.serial] 2026/02/23 08:11:42.094853 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:42.301420 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:42.301459 stream read error: EOF
[worker.serial] 2026/02/23 08:11:42.702296 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:42.905347 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:42.905392 stream read error: EOF
[worker.serial] 2026/02/23 08:11:43.307034 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:43.509583 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:43.509625 stream read error: EOF
[worker.serial] 2026/02/23 08:11:43.910337 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:44.113317 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:44.113349 stream read error: EOF
[worker.serial] 2026/02/23 08:11:44.514307 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:44.717389 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:44.717435 stream read error: EOF
[worker.serial] 2026/02/23 08:11:45.118569 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:45.325339 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:45.325391 stream read error: EOF
[worker.serial] 2026/02/23 08:11:45.726828 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:45.929430 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:45.929476 stream read error: EOF
[worker.serial] 2026/02/23 08:11:46.330567 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:46.533381 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:46.533436 stream read error: EOF
[worker.serial] 2026/02/23 08:11:46.934274 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:47.137485 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:47.137529 stream read error: EOF
[worker.serial] 2026/02/23 08:11:47.538857 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:47.741377 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:47.741419 stream read error: EOF
[worker.serial] 2026/02/23 08:11:48.142377 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:48.349383 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:48.349426 stream read error: EOF
[worker.serial] 2026/02/23 08:11:48.750762 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:48.953355 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:48.953396 stream read error: EOF
[worker.serial] 2026/02/23 08:11:49.354107 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:49.557350 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:49.557392 stream read error: EOF
[worker.serial] 2026/02/23 08:11:49.958584 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:50.165339 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:50.165391 stream read error: EOF
[worker.serial] 2026/02/23 08:11:50.566554 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:50.769661 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:50.769703 stream read error: EOF
[worker.serial] 2026/02/23 08:11:51.170568 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:51.373333 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:51.373373 stream read error: EOF
[worker.serial] 2026/02/23 08:11:51.774509 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:51.977386 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:51.977440 stream read error: EOF
[worker.serial] 2026/02/23 08:11:52.378736 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:52.581387 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:52.581579 stream read error: EOF
[worker.serial] 2026/02/23 08:11:52.982079 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:53.185407 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:53.185461 stream read error: EOF
[worker.serial] 2026/02/23 08:11:53.586040 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:53.789308 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:53.789339 stream read error: EOF
[worker.serial] 2026/02/23 08:11:54.190777 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:54.393473 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:54.393508 stream read error: EOF
[worker.serial] 2026/02/23 08:11:54.794779 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:55.001401 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:55.001450 stream read error: EOF
[worker.serial] 2026/02/23 08:11:55.402706 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:55.605395 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:55.605454 stream read error: EOF
[worker.serial] 2026/02/23 08:11:56.006741 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:56.209326 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:56.209369 stream read error: EOF
[worker.serial] 2026/02/23 08:11:56.611150 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:56.817341 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:56.817395 stream read error: EOF
[worker.serial] 2026/02/23 08:11:57.218021 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:57.421399 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:57.421454 stream read error: EOF
[worker.serial] 2026/02/23 08:11:57.822750 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:58.025416 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:58.025482 stream read error: EOF
[worker.serial] 2026/02/23 08:11:58.426678 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:58.629347 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:58.629403 stream read error: EOF
[worker.serial] 2026/02/23 08:11:59.030720 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:59.233557 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:59.233599 stream read error: EOF
[worker.serial] 2026/02/23 08:11:59.634111 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:59.837400 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:59.837432 stream read error: EOF
[worker.serial] 2026/02/23 08:12:00.238320 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:00.441324 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:00.441375 stream read error: EOF
[worker.serial] 2026/02/23 08:12:00.842388 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:01.045411 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:01.045448 stream read error: EOF
[worker.serial] 2026/02/23 08:12:01.446630 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:01.653376 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:01.653429 stream read error: EOF
[worker.serial] 2026/02/23 08:12:02.054108 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:02.257379 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:02.257413 stream read error: EOF
[worker.serial] 2026/02/23 08:12:02.658396 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:02.861369 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:02.861401 stream read error: EOF
[worker.serial] 2026/02/23 08:12:03.262067 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:03.469376 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:03.469427 stream read error: EOF
[worker.serial] 2026/02/23 08:12:03.870708 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:04.073417 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:04.073455 stream read error: EOF
[worker.serial] 2026/02/23 08:12:04.474772 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:04.681338 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:04.681380 stream read error: EOF
[worker.serial] 2026/02/23 08:12:05.082481 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:05.289362 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:05.289402 stream read error: EOF
[worker.serial] 2026/02/23 08:12:05.689890 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:05.893366 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:05.893401 stream read error: EOF
[worker.serial] 2026/02/23 08:12:06.294711 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:06.501510 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:06.501568 stream read error: EOF
[worker.serial] 2026/02/23 08:12:06.902187 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:07.105413 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:07.105461 stream read error: EOF
[worker.serial] 2026/02/23 08:12:07.506418 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:07.713328 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:07.713377 stream read error: EOF
[worker.serial] 2026/02/23 08:12:08.114842 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:12:08.321355 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:12:08.321398 stream read error: EOF
